"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccdc80",139.23805476718,-3.5836522730396,0.251396620631382,-14.2549739294,4.1745815911816e-46,2.52776633950965e-44
"Btla",7.4242677741081,2.63262774738141,0.787009699367535,3.34510203558745,0.000822523046217325,0.00248641305867132
"Col8a1",95.6704922253579,-2.8777902544047,0.248247644257896,-11.5924171728094,4.50244073283403e-31,1.51633627804264e-29
"Clic6",95.5214085803068,2.40322711159213,0.218571227379618,10.9951668405932,4.03167230759882e-28,1.20209102985927e-26
"Cbr3",920.774216107863,3.60685510572042,0.113598607380375,31.7508743187599,3.08821864452994e-221,3.64018625692893e-218
"Erg",5.95493350082245,2.07173240957059,0.816934508016146,2.53598347143103,0.0112132026422017,0.0258522148802672
"Dscam",6.6150973232119,2.26089320709459,0.834143609391773,2.71043640643983,0.00671947325653271,0.0164098075481706
"A630089N07Rik",31.7105271883817,2.46072182493856,0.361392219491099,6.80900609427527,9.82753169846641e-12,8.94750710404658e-11
"1700102H20Rik",6.19705490077994,2.13271253319517,0.724849602228392,2.94228282203454,0.0032580222331148,0.0085619933269475
"3300005D01Rik",4.98030706589284,-2.54101218418526,0.959421092602387,-2.64848480378191,0.00808534841484548,0.019363002210874
"Smok4a",6.32272441470487,3.58423122195468,1.34112016348088,2.67256530738588,0.00752737209301715,0.0181595669227229
"Dll1",190.847955009092,2.77528882478578,0.144489353163509,19.2075662602293,3.19916156502543e-82,5.38708339344901e-80
"Prss22",9.09480790580796,2.87835889552155,0.935356452828641,3.07728554907278,0.0020889508646241,0.00576925027138687
"Rnf151",7.879426163344,2.54348780142115,0.758745585756673,3.35222747804801,0.000801641213559923,0.00243202098437766
"Snora78",13.9887862241586,2.13726128661993,0.567434295008886,3.76653527187049,0.00016552870768541,0.000577602739409064
"Prss34",1.69095300971115,4.3058393513389,1.59922812308811,2.69244849385486,0.00709294904645465,0.0172196117108835
"Sstr5",67.5768613541582,2.51707421456618,0.238647991922943,10.5472256199789,5.23192047308869e-26,1.38689034309867e-24
